,source_id,source_name,title,description,url
0,,CNET,"The Mandalorian season 2 episode 2 recap: Baby Yoda, Mando take a creepy detour - CNET","In the episode titled The Passenger, the live-action Disney Plus Star Wars show brings us on a weird adventure.",https://www.cnet.com/news/the-mandalorian-season-2-episode-2-recap-baby-yoda-mando-take-a-creepy-detour/
1,google-news,Google News,Bryce Hall Calls Ariana Grande's Shade 'Unnecessary' & A Marketing Stunt! - Clevver News,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9XzlET3Nxb2lKM2fSAQA?oc=5
2,,Suntimes.com,"King Von, Chicago rapper, killed in Atlanta shooting: police - Chicago Sun-Times","“rip von god bless him and his family,’ Chance the Rapper posted on Twitter.",https://chicago.suntimes.com/news/2020/11/6/21552989/chicago-rapper-king-von-killed-atlanta-shooting-reports
3,cnn,CNN,Clare Crawley exits 'Bachelorette' while giving us a love story - CNN,"Clare Crawley made history on ""The Bachelorette"" and some people are happy for her.",https://www.cnn.com/2020/11/06/entertainment/clare-crawley-bachelorette-trnd/index.html
4,cnn,CNN,Sean Connery's luxury French Riviera villa can be yours for $35 million - CNN,"If you're dreaming of the luxurious life of an international man of mystery, you could be in luck -- Sean Connery's former French Riviera residence is on the market for €30 million ($35.4 million).",https://www.cnn.com/style/article/sean-connery-luxury-villa-intl-scli/index.html
5,google-news,Google News,How we became Charles and Diana for The Crown! | The Graham Norton Show - BBC - BBC,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9TUdRNnBsOHg1dU3SAQA?oc=5
6,,Entertainment Tonight,Gleb Savchenko Splits From Wife Elena Samodanova After 14 Years of Marriage - Entertainment Tonight,The 'DWTS' pro released an exclusive statement ET about his breakup.,https://www.etonline.com/dancing-with-the-stars-pro-gleb-savchenko-splits-from-wife-elena-samodanova-after-14-years-of
7,,Billboard,Bring Me the Horizon Becomes First Act With Three Hot Hard Rock Songs No. 1s - Billboard,Bring Me the Horizon extends its total of No. 1s on Billboard's newly-formed Hot Hard Rock Songs chart.,https://www.billboard.com/articles/business/chart-beat/9479510/bring-me-the-horizon-tops-hot-hard-rock-songs
8,,BuzzFeed News,"Destiel (Sort Of) Became Canon And ""Supernatural"" Fans Are Shaking - BuzzFeed News","Destiel, also known as DeanCas, also known as half the reason Tumblr exists.",https://www.buzzfeednews.com/article/laurenstrapagiel/destiel-supernatural
9,,Daily Mail,Khloe Kardashian jokes about Tristan Thompson's past infidelities on KUWTK - Daily Mail,"Khloe Kardashian ribbed Tristan Thompson about his infidelities during a new episode of Keeping Up With The Kardashians. Filmed months ago, the episode showed Khloe and Tristan in lockdown.",https://www.dailymail.co.uk/tvshowbiz/article-8921907/Khloe-Kardashian-jokes-Tristan-Thompsons-past-infidelities-KUWTK.html
10,,/FILM,Mank Review: Fincher Does Hollywood – - /FILM,"David Fincher's Mank is one of the year's best movies – an old school Hollywood melodrama about maing great art, no matter the cost.",https://www.slashfilm.com/mank-review/
11,,TMZ,PETA Wants USDA to Investigate Doc Antle Over Lil Pump Visit - TMZ,PETA files formal request with USDA to investigate Doc Antle over Lil Pump zoo visit.,https://www.tmz.com/2020/11/06/peta-wants-doc-antle-investigated-usda-lil-pump-elephant-tiger/
12,associated-press,Associated Press,"Megachurch Pastor Carl Lentz fired, admits cheating on wife - Associated Press","NEW YORK (AP) — Carl Lentz, the celebrity magnet of a pastor who brought the global megachurch Hillsong from Australia to the United States, has been fired, acknowledging on Instagram that he...",https://apnews.com/article/carl-lentz-fired-hillsong-cheats-on-wife-d1b5930e115c285f8caaecaf4a690c75
13,,Variety,Johnny Depp Exits ‘Fantastic Beasts’ Franchise - Variety,"Johnny Depp announced he will no longer portray the dark wizard Gellert Grindelwald in the “Fantastic Beasts” film franchise. “In light of recent events, I would like to make the following short statement,” he wrote Friday on Instagram. “I wish to let you kno…",https://variety.com/2020/film/news/johnny-depp-exhits-fantastic-beasts-franchise-1234824564/
14,,wwe.com,"SmackDown: Nov. 6, 2020 - WWE",The storied rivalry between Sasha Banks and Bayley will come to an end tonight when The Boss puts her SmackDown Women’s Title on the line against her former best friend turned bitter rival.,http://www.wwe.com/shows/smackdown/2020-11-06
15,,Brooklyn Vegan,"Bandcamp exclusives for today's fundraiser (JPEGMAFIA, DIIV, Mike Watt, Nick Lowe, more) - Brooklyn Vegan","Plus: Jason Isbell, Jherek Bischoff, Sarchasm, Corrupt Vision/Disparo! split, Hundreds of AU, David Nance, Sic Alps, Scott McCaughey, CHAI, a blink-182 tribute album, and more...",https://www.brooklynvegan.com/bandcamp-exclusives-for-todays-fundraiser-jpegmafia-diiv-mike-watt-nick-lowe-more/
16,engadget,Engadget,Ryan Reynolds' 'Free Guy' movie won't hit theaters in December - Engadget,"As the pandemic continues to rage on and with recent spikes plunging many countries in Europe back into lockdown, movie studios once again have to delay production on upcoming films.  Disney appears to be trying to avoid that by saving some already-finished m…",https://www.engadget.com/free-guy-ryan-reynolds-movie-delay-december-154331579.html
17,,Page Six,Anne Hathaway apologizes for 'The Witches' disability controversy - Page Six,“I particularly want to say I’m sorry to kids with limb differences.”,https://pagesix.com/2020/11/06/anne-hathaway-apologizes-after-the-witches-disability-controversy/
18,,Vox,HBO’s In Treatment will soothe your shattered nerves - Vox.com,"The series about a therapist has 106 episodes of quiet, enthralling television to get you through a rough patch.",https://www.vox.com/culture/21541145/in-treatment-hbo-one-good-thing-review-revival
19,,Billboard,The 13 Best Things That Happened in Music This Week (November 6) - Billboard,"Take a look at all of the week’s can’t-miss music moments, including Ariana Grande's new No. 1.",https://www.billboard.com/articles/news/9479381/ariana-grande-no-1-best-music-moments-november-6
